,Unnamed: 0,URL,address,signal
118,126,https://www.tripadvisor.com/Hotel_Review-g60745-d126058-Reviews-Constitution_Inn-Boston_Massachusetts.html,"150 3rd Ave, Boston, MA 02129-2016",finish
119,127,https://www.tripadvisor.com/Hotel_Review-g60745-d7356280-Reviews-Churchill_At_The_Radian-Boston_Massachusetts.html,"120 Kingston St, Boston, MA 02111-2157",finish
120,129,https://www.tripadvisor.com/Hotel_Review-g60745-d21314660-Reviews-West_Broadway_Quarters_By_Thatch-Boston_Massachusetts.html,None,again
121,130,https://www.tripadvisor.com/Hotel_Review-g60745-d19742171-Reviews-Trenton_Street_Homestay-Boston_Massachusetts.html,"78 Trenton St, Boston, MA 02128-2535",finish
122,131,https://www.tripadvisor.com/Hotel_Review-g60745-d21149839-Reviews-Evonify_Corporate_Convention_Center-Boston_Massachusetts.html,"6 Blackwood St, Boston, MA 02115-5147",finish
123,132,https://www.tripadvisor.com/Hotel_Review-g60745-d15641200-Reviews-Global_Luxury_Suites_at_Mass_General_Hospital-Boston_Massachusetts.html,"4 Emerson Place, Boston, MA 02114-2275",finish
124,133,https://www.tripadvisor.com/Hotel_Review-g60745-d15647517-Reviews-Global_Luxury_Suites_at_the_Commonwealth-Boston_Massachusetts.html,"1 Longfellow Pl, Boston, MA 02114-2438",finish
125,135,https://www.tripadvisor.com/Hotel_Review-g60745-d21186838-Reviews-ARTlab_Living_Downtown_Crossing-Boston_Massachusetts.html,"8 Winter St, Boston, MA 02108-4705",finish
126,136,https://www.tripadvisor.com/Hotel_Review-g60745-d15685450-Reviews-Bluebird_Suites_At_Garrison_Square-Boston_Massachusetts.html,"30 Garrison St, Boston, MA 02116-5741",finish
127,137,https://www.tripadvisor.com/Hotel_Review-g60745-d15631744-Reviews-Bluebird_On_Canal_Street-Boston_Massachusetts.html,"345 Harrison Ave, Boston, MA 02118-3054",finish
128,138,https://www.tripadvisor.com/Hotel_Review-g60745-d15631668-Reviews-Bluebird_Suites_on_L_Street-Boston_Massachusetts.html,"728 E Broadway, Boston, MA 02127-1504",finish
129,139,https://www.tripadvisor.com/Hotel_Review-g60745-d20373961-Reviews-Bella_Casa-Boston_Massachusetts.html,None,again
130,140,https://www.tripadvisor.com/Hotel_Review-g60745-d21182055-Reviews-Harmony_Medical_Suites_ChinaTown-Boston_Massachusetts.html,"8 Harrison Ave, Boston, MA 02111-2083",finish
131,141,https://www.tripadvisor.com/Hotel_Review-g60745-d21393311-Reviews-Temple_Place_Suites_2_3-Boston_Massachusetts.html,None,again
132,142,https://www.tripadvisor.com/Hotel_Review-g60745-d220216-Reviews-Beacon_Hill_Hotel_and_Bistro-Boston_Massachusetts.html,"25 Charles St, Boston, MA 02114-4603",finish
133,144,https://www.tripadvisor.com/Hotel_Review-g60745-d1206836-Reviews-Abigayle_s_Bed_and_Breakfast-Boston_Massachusetts.html,"72 Bay State Rd, Boston, MA 02215",finish
134,145,https://www.tripadvisor.com/Hotel_Review-g60745-d1577042-Reviews-Montgomery_Place-Boston_Massachusetts.html,"Montgomery St at Dartmouth St, Boston, MA 02116",finish
135,146,https://www.tripadvisor.com/Hotel_Review-g60745-d621896-Reviews-Nolan_House_B_B-Boston_Massachusetts.html,"10 G St South Boston, Boston, MA 02127-1409",finish
